genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Sulfurisphaera ohwakuensis,69656,TA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,GCA_009729055.1,32.7,2.8,D85507,63.9,63
Thermococcus onnurineus,342948,NA1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000018365.1,51.3,1.8,DQ167232,65.8,63
Thermothrix azorensis,48383,TM,Bacteria,,,,,Thermothrix,,39.7,,NR_104832,60.8,63
Acidilobus sulfurireducens,411357,18D70,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,59.9,,EF057391,67.7,62
Thermothrix thiopara,48382,ATCC 29244,Bacteria,,,,,Thermothrix,,39.7,,L77876,60.3,62
Desulfovirgula thermocuniculi,348842,RL80JIV,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,,60.1,,DQ208689,60.4,61
Thermococcus kodakarensis,311400,KOD1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000009965.1,52,2.1,D38650,66,60
Thermococcus peptonophilus,53952,OG-1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001592435.1,51.7,1.9,D37982,65.8,60
Vulcanisaeta moutnovskia,985052,768-28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,GCA_000190315.1,42.4,2.3,AY350589,65.8,60
Thermococcus prieurii,1128108,Bio-pl-0405IT2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.6,,FN396976,65.9,60
Thermococcus piezophilus,1712654,CDGS,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001647085.1,51.1,1.9,LN878294,65.8,60
Thermococcus aggregans,110163,TY,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42,,Y08384,64.9,60
Thermococcus chitonophagus,54262,GC74,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_900012635.1,44.9,2,AY099175,66.6,60
Acidilobus aceticus,105851,1904,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,53.8,,AF191225,66.1,60
Caldivirga maquilingensis,76887,IC-167,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,GCA_000018305.1,43.1,2.1,AB013926,65.7,60
Thermococcus barossii,54077,SHCK-94,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214465.1,54.7,1.9,AY099173,66,60
Thermococcus waiotapuensis,90909,WT1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.4,,AB055127,65.8,60
Archaeoglobus fulgidus,2234,VC-16,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000008665.1,48.6,2.2,X05567,63.9,60
Acidianus manzaensis,282676,NA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_002116695.1,30.6,2.7,AB182498,61.4,60
Sulfurisphaera javensis,2049879,KD-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,,30.6,,LC332080,64.3,60
Acidilobus saccharovorans,242703,345-15,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,GCA_000144915.1,57.2,1.5,AY350586,67.3,60
Zestosphaera tikiterensis,1973259,NZ3,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Zestosphaera,,41.9,,MH252993,65.1,60
Palaeococcus ferrophilus,83868,DMJ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,53.5,,AB019239,65.2,60
Fervidobacterium thailandense,1008305,FC2004,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,45.8,,KJ473436,61.9,60
Hydrogenobacter subterraneus,92642,HGP1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,44.5,,AB026268,60.9,60
Ammonifex thiophilus,444093,SR,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,,56.2,,EF554597,62.7,60
Archaeoglobus sulfaticallidus,1316941,PM70-1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000385565.1,43.2,2.1,FJ810190,62.1,60
Thermus parvatiensis,456163,RL,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001535545.1,68.5,2,EU017402,63.9,60
"""Caldisphaera draconis""",411358,18U65,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,,53.9,,EF057392,61.7,60
Hydrogenobacter halophilus,2547829,TH-112,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,46,,LC466842,62.9,60
Archaeoglobus infectus,403219,Arc51,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,45.9,,AB274307,62.7,60
Caldicoprobacter faecalis,937334,DSM 20678,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,45,,FR749980,58,60
Conexivisphaera calidus,1874277,NAS-02,Archaea,Candidatus Geothermarchaeota,,,,Conexivisphaera,,62.1,,AP018732,63.3,60
Methanofervidicoccus abyssi,2082189,HHB,Archaea,Euryarchaeota,Methanococci,Methanococcales,,Methanofervidicoccus,,35.9,,BFAX01000003,61.9,60
Methanocaldococcus bathoardescens,1301915,JH146,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000739065.1,30.8,1.6,CP009149,64.6,58
Thermococcus coalescens,227597,TS1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.9,,AB107767,65.8,57
Stygiolobus azoricus,41675,FC6,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus,GCA_009729035.1,37.6,2,X90480,64.5,57
Ammonifex degensii,42838,KC4,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,GCA_000024605.1,59.4,2.2,U34975,55.7,57
Thermococcus acidaminovorans,71280,AEDII10,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,49,,AB055120,65.8,56
Thermococcus guaymasensis,110164,TYS ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000816105.1,52.9,1.9,Y08385,65.5,56
Thermococcus alcaliphilus,139207,AEDII12 ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42,,AB055121,65.8,56
