genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Geobacillus thermocatenulatus,33938,DSM 730,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_002243665.1,51.9,3.7,Z26926,59.7,35
Thermosipho africanus,2421,Ob7,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000021285.1,30.8,2,NR_043912,60,35
Coprothermobacter proteolyticus,35786,BT,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,GCA_000020945.1,44.8,1.4,NR_029236,57.5,35
Thermoanaerobacterium thermosulfurigenes,33950,4BT,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,,32.6,,L09171,54.1,35
Anoxybacillus kaynarcensis,1173302,D1021,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,42.9,,EU926955,55.9,35
Anoxybacillus eryuanensis,651866,E-112,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,42.6,,GQ153549,56.1,35
Anoxybacillus calidus,575178,C161ab,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,37.8,,FJ430012,56.2,35
Meiothermus ruber,277,21,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,GCA_000024425.1,63.4,3.1,Z15059,57.5,35
Inmirania thermothiophila,1750597,S2479,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Inmirania,,71.5,,KT159732,58.8,35
Anoxybacillus rupiensis,311460,R270,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,41.7,,AJ879076,56.6,35
Thermoanaerobacterium aotearoense,47490,JW/SL-NZ613 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,GCA_009905255.1,35.4,2.7,X93359,54.8,35
Anoxybacillus caldiproteolyticus,247480,SF03,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,,,AY327448,56.3,35
Marinitoga hydrogenitolerans,287990,AT1271,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,,28,,AJ786363,56.3,35
Thermonema rossianum,55505,NR-27,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Thermonemataceae,Thermonema,,50.9,,Y08956,58.1,35
Acetomicrobium flavidum,49896,TN,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,,47,,FR733692,59,35
Brevibacillus aydinogluensis,927786,PDF25,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,56.1,,HQ419073,56.6,35
Hydrogenophilus islandicus,545536,16C,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus,,63.9,,EU625664,58,35
Hydrogenimonas thermophila,223786,EP1-55-1% ,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Hydrogenimonaceae,Hydrogenimonas,,34.6,,AB105049,63.1,35
Geothermobacter ehrlichii,213224,SS015,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter,,62.6,,AY155599,55.4,35
Coprothermobacter platensis,108819,3R ,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,,43,,NR_026366,56.7,35
Marinithermofilum abyssi,1571185,SCSIO 11157 ,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Marinithermofilum,,54.2,,KM368341,59.3,35
Meiothermus rufus,604332,CAL-4,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,64.1,,FN178496,57.6,35
Alicyclobacillus herbarius,122960, CP-1,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,56.2,,AB042055,60,35
Acetomicrobium mobile,97477,NGA,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,GCA_000266925.1,48,2.2,AJ243189,59,35
Thermoanaerobacterium butyriciformans,1702242, USBA-019,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,,32.7,,KT369738,54.5,35
Tepidimonas ignava,114249,SPS-1037,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidimonas,,69.7,,AF177943,57.9,35
Thermoflavifilum aggregans,454188,P373 ,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Thermoflavifilum,,47.3,,AM749771,55.6,35
Lebetimonas natsushimae,1936991,HS1857,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Lebetimonas,,33.2,,NR_152636,57.3,35
Melghiribacillus thermohalophilus,1324956,Nari2A ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Melghiribacillus,,41.9,,KC845574,57.7,35
Thermasporomyces composti,696763,I3,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Thermasporomyces,,69.2,,AB535715,59.8,35
Thiobacter subterraneus,279810,C55,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiobacter,,66.9,,AB180657,56.7,35
Bacillus kokeshiiformis,1247960,MO-04,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,33.4,,JX848633,54.1,35
